Microsoft Windows [Version 10.0.22631.2861]
(c) Microsoft Corporation. All rights reserved.

C:\Users\Lenovo\AppData\Local\Apps\2.0\1Z38Y4NN.YCK\NXMW6T11.HNH\c23...tion_0000000000000000_0001.0000_fffaf3c224cfdc01>cmd /k TASKLIST

Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        100 K
Secure System                  108 Services                   0     40,164 K
Registry                       156 Services                   0     45,636 K
smss.exe                       604 Services                   0        972 K
csrss.exe                     1000 Services                   0      3,512 K
wininit.exe                    792 Services                   0      4,612 K
csrss.exe                      380 Console                    1      5,356 K
services.exe                  1064 Services                   0     11,332 K
LsaIso.exe                    1084 Services                   0      3,684 K
lsass.exe                     1100 Services                   0     26,316 K
svchost.exe                   1232 Services                   0     43,668 K
fontdrvhost.exe               1260 Services                   0      2,944 K
WUDFHost.exe                  1268 Services                   0      6,356 K
svchost.exe                   1368 Services                   0     28,416 K
svchost.exe                   1412 Services                   0     11,504 K
WUDFHost.exe                  1472 Services                   0      4,300 K
WUDFHost.exe                  1516 Services                   0      4,560 K
WUDFHost.exe                  1564 Services                   0     16,736 K
winlogon.exe                  1652 Console                    1      8,208 K
fontdrvhost.exe               1704 Console                    1      5,532 K
svchost.exe                   1844 Services                   0     11,636 K
svchost.exe                   1852 Services                   0      8,524 K
svchost.exe                   1868 Services                   0     16,052 K
svchost.exe                   1872 Services                   0      8,692 K
svchost.exe                   1940 Services                   0     10,000 K
svchost.exe                   1956 Services                   0     14,504 K
svchost.exe                   1952 Services                   0     12,980 K
svchost.exe                      8 Services                   0     11,524 K
svchost.exe                   1744 Services                   0     14,508 K
svchost.exe                   1360 Services                   0     13,072 K
svchost.exe                   2100 Services                   0     26,284 K
IntelCpHDCPSvc.exe            2252 Services                   0      4,332 K
svchost.exe                   2288 Services                   0     10,512 K
svchost.exe                   2332 Services                   0     12,356 K
svchost.exe                   2388 Services                   0     13,080 K
IntelCpHeciSvc.exe            2548 Services                   0      4,384 K
svchost.exe                   2596 Services                   0     11,948 K
svchost.exe                   2620 Services                   0     10,040 K
svchost.exe                   2764 Services                   0     13,920 K
svchost.exe                   2840 Services                   0     11,112 K
svchost.exe                   2856 Services                   0     18,136 K
svchost.exe                   2880 Services                   0     16,916 K
svchost.exe                   2908 Services                   0      8,764 K
svchost.exe                   2940 Services                   0     13,760 K
dasHost.exe                   3132 Services                   0      9,452 K
svchost.exe                   3152 Services                   0     21,932 K
vmms.exe                      3368 Services                   0     26,272 K
svchost.exe                   3492 Services                   0     15,056 K
ibmpmsvc.exe                  3528 Services                   0      4,776 K
LITSSvc.exe                   3536 Services                   0      5,504 K
svchost.exe                   3644 Services                   0     16,972 K
svchost.exe                   3668 Services                   0     20,916 K
EPDService.exe                3724 Services                   0      4,416 K
svchost.exe                   3732 Services                   0     11,136 K
svchost.exe                   3740 Services                   0     13,820 K
svchost.exe                   3764 Services                   0      8,860 K
Memory Compression            3916 Services                   0  1,339,748 K
svchost.exe                   3976 Services                   0     12,148 K
igfxCUIService.exe            4044 Services                   0      5,912 K
svchost.exe                   3064 Services                   0     11,964 K
svchost.exe                   2172 Services                   0     13,636 K
svchost.exe                   4192 Services                   0     33,228 K
svchost.exe                   4280 Services                   0     18,400 K
svchost.exe                   4308 Services                   0      9,564 K
svchost.exe                   4468 Services                   0     12,404 K
svchost.exe                   4500 Services                   0     24,248 K
svchost.exe                   4532 Services                   0     16,004 K
spoolsv.exe                   4648 Services                   0     12,188 K
svchost.exe                   4656 Services                   0     12,164 K
svchost.exe                   4736 Services                   0     24,884 K
svchost.exe                   4824 Services                   0     10,080 K
svchost.exe                   4872 Services                   0      9,896 K
wlanext.exe                   4896 Services                   0      5,096 K
conhost.exe                   4920 Services                   0      4,184 K
svchost.exe                   5084 Services                   0     11,500 K
svchost.exe                   5104 Services                   0     50,308 K
svchost.exe                   5112 Services                   0     19,192 K
DAX3API.exe                   3856 Services                   0     12,820 K
FMService64.exe               4128 Services                   0      5,396 K
svchost.exe                   4208 Services                   0     52,736 K
